,Active Calories,Resting Calories,Total
10/29/2024,347,4892,5239
11/05/2024,3404,17121,20525
11/12/2024,3777,17122,20899
11/19/2024,3551,17122,20673
11/26/2024,4341,17122,21463
12/03/2024,4500,17122,21622
12/10/2024,5386,17122,22508
12/17/2024,3861,17122,20983
12/24/2024,4367,17122,21489
12/31/2024,3978,17086,21064
01/07/2025,3197,16978,20175
01/14/2025,2548,17181,19729
01/21/2025,4907,17080,21987
01/28/2025,3673,17080,20753
02/04/2025,4343,17080,21423
02/11/2025,4159,17080,21239
02/18/2025,4431,17080,21511
02/25/2025,3130,17080,20210
03/04/2025,3945,17080,21025
03/11/2025,4122,17080,21202
03/18/2025,4484,17080,21564
03/25/2025,4171,17080,21251
04/01/2025,3954,17080,21034
04/08/2025,3752,17080,20832
04/15/2025,4025,17080,21105
04/22/2025,3807,16970,20777
04/29/2025,3642,16310,19952
05/06/2025,3095,16310,19405
05/13/2025,2824,16310,19134
05/20/2025,2955,16310,19265
05/27/2025,4331,16310,20641
06/03/2025,3629,16310,19939
06/10/2025,4543,16310,20853
06/17/2025,3898,16310,20208
06/24/2025,3729,16310,20039
07/01/2025,3378,16310,19688
07/08/2025,2921,16310,19231
07/15/2025,3336,16309,19645
07/22/2025,2786,16310,19096
07/29/2025,3374,16310,19684
08/05/2025,3434,16310,19744
08/12/2025,4982,16310,21292
08/19/2025,3850,16212,20062
08/26/2025,2190,16310,18500
09/02/2025,2555,16407,18962
09/09/2025,3406,16310,19716
09/16/2025,3792,14916,18708