,Resting Heart Rate
10/29/2024,56
11/05/2024,51
11/12/2024,52
11/19/2024,51
11/26/2024,50
12/03/2024,50
12/10/2024,54
12/17/2024,50
12/24/2024,52
12/31/2024,52
01/07/2025,51
01/14/2025,49
01/21/2025,49
01/28/2025,49
02/04/2025,51
02/11/2025,49
02/18/2025,49
02/25/2025,49
03/04/2025,49
03/11/2025,48
03/18/2025,51
03/25/2025,54
04/01/2025,50
04/08/2025,50
04/15/2025,51
04/22/2025,51
04/29/2025,49
05/06/2025,49
05/13/2025,50
05/20/2025,51
05/27/2025,53
06/03/2025,51
06/10/2025,50
06/17/2025,52
06/24/2025,51
07/01/2025,54
07/08/2025,52
07/15/2025,51
07/22/2025,50
07/29/2025,53
08/05/2025,50
08/12/2025,54
08/19/2025,51
08/26/2025,50
09/02/2025,52
09/09/2025,50
09/16/2025,50