,Actual
10/29/2024,8957
11/05/2024,76317
11/12/2024,84385
11/19/2024,74898
11/26/2024,75297
12/03/2024,82137
12/10/2024,81452
12/17/2024,83355
12/24/2024,94745
12/31/2024,82561
01/07/2025,81922
01/14/2025,78105
01/21/2025,92677
01/28/2025,82319
02/04/2025,85351
02/11/2025,84956
02/18/2025,107518
02/25/2025,83799
03/04/2025,104753
03/11/2025,109361
03/18/2025,109212
03/25/2025,96521
04/01/2025,92592
04/08/2025,78802
04/15/2025,92691
04/22/2025,90855
04/29/2025,95158
05/06/2025,81976
05/13/2025,83995
05/20/2025,74548
05/27/2025,82297
06/03/2025,81722
06/10/2025,96019
06/17/2025,96207
06/24/2025,87971
07/01/2025,80166
07/08/2025,83672
07/15/2025,108536
07/22/2025,78387
07/29/2025,83447
08/05/2025,90671
08/12/2025,110275
08/19/2025,102746
08/26/2025,67972
09/02/2025,71996
09/09/2025,88494
09/16/2025,80079